identifier,dr7obid_complete,List_num,RA_deg,Dec_deg,PETROR50_R_arcsec,redshift,REDSHIFT_ERR,ang_arcsec,angsize_to_petro,ang_diam_dist,EstDist_Mpc,length_maj,velocity_km_s,MorphType
1574178271971534848,588017116668362863,981,226.1577301,40.3720665,10.21931,0.0298407,0.000171561,77.92834463,7.625597485,127.3452724,54.37241333,156920.2603,8748.421018,Sp
2373562538391529472,587738946146336828,595,183.1165314,39.11092377,8.816533,0.0236091,0.000159867,44.11047684,5.00315451,101.5142077,96.05772751,70805.87989,6953.189654,Sp
1042632282487154688,587729777453367603,554,235.2910767,-1.706191301,12.660772,0.0329868,0.000178196,61.46242437,4.854555818,140.2382414,68.93890386,136294.0466,9648.66891,Sp
2908249006100473856,587745243627192401,812,148.1367188,15.82686043,6.7566423,0.028322,0.00017288,27.38166557,4.052555153,121.0860985,154.7441354,52426.98585,8312.393801,Sp
343559202712610816,587722984440529128,373,216.8348541,1.025864124,13.7653,0.02569,0.00018024,76.52213642,5.559060567,110.1835725,55.3715874,133322.8773,7554.467174,Sp
2523305038655285248,587741722823884873,194,195.2335815,27.79085922,11.95271,0.0266527,0.000168692,53.82112945,4.502839059,114.1794759,78.72655606,97172.1014,7832.026565,Sp
2820512097362798592,587742190438121488,97,175.058075,24.69706345,8.132747,0.0119968,0.000204284,116.6960304,14.348907,52.31782558,36.30930848,96539.82574,3563.898686,Sp
1454766904269891584,587732483837067338,192,228.2807159,41.26462936,12.817044,0.0290791,0.000186142,64.12565149,5.00315451,124.2093057,66.0757757,125946.6634,8529.880453,Sp
2183191169603758080,587739157113798784,643,141.0953402,28.29302514,9.199599,0.0217386,0.000351555,46.02701523,5.00315451,93.68374556,92.0579391,68183.26604,6411.150403,Sp
1633743489286039552,588298663036649508,687,184.203598,47.45738602,7.5627217,0.0247787,7.97E-05,51.38421197,6.794407359,106.3923648,82.46019549,86445.20426,7291.370072,Sp
1921956011258701824,588017702945554708,930,215.1270294,10.43208981,14.142969,0.0295809,0.000166072,63.68351322,4.502839059,126.2761725,66.53452283,127159.6037,8673.898468,Sp
549553260982200320,587725552817602637,504,153.7518005,65.1399231,13.477286,0.0109994,0.000110508,82.41315406,6.114966623,48.02668649,51.41354208,62586.38998,3270.054962,Sp
2031133392745031680,587736541477994706,861,207.3486023,8.507630348,9.710713,0.0379126,0.000174273,53.98244171,5.559060567,160.2275452,78.49130255,136769.8736,11050.10181,Sp
2257567360179267584,587738574608859290,338,204.416153,39.15457153,8.073511,0.0197958,0.00102705,44.88113663,5.559060567,85.51265783,94.40830786,60686.90568,5846.587672,Sp
2934254106354673664,587742903942709270,935,203.3716431,17.47060966,6.2197485,0.0271153,0.000174226,72.28974016,11.62261467,116.0962687,58.61346514,132707.5611,7965.262943,Sp
